source,chain_alias,oso_chain_name
superchain,op,OPTIMISM
superchain,fraxtal,FRAX
defillama,arbitrum,ARBITRUM_ONE
defillama,ethereum,MAINNET
defillama,fraxtal,FRAX
defillama,op mainnet,OPTIMISM
defillama,polygon,MATIC
defillama,polygon zkevm,POLYGON_ZKEVM
defillama,swellchain,SWELL
defillama,world chain,WORLDCHAIN
defillama,zksync era,ZKSYNC_ERA
growthepie,arbitrum,ARBITRUM_ONE
growthepie,ethereum,MAINNET
growthepie,fraxtal,FRAX
l2beat,op-mainnet,OPTIMISM
l2beat,polygonzkevm,POLYGON_ZKEVM
l2beat,fraxtal,FRAX
l2beat,derive,LYRA
l2beat,world,WORLDCHAIN
l2beat,arbitrum,ARBITRUM_ONE
l2beat,polygon-pos,MATIC
l2beat,zksync-era,ZKSYNC_ERA
