chain_id,chain,chain_type
"7897","ARENAZ","SUPERCHAIN"
"65536","AUTOMATA","SUPERCHAIN"
"8453","BASE","SUPERCHAIN"
"60808","BOB","SUPERCHAIN"
"7560","CYBER","SUPERCHAIN"
"252","FRAX","SUPERCHAIN"
"5112","HAM","SUPERCHAIN"
"57073","INK","SUPERCHAIN"
"255","KROMA","SUPERCHAIN"
"1135","LISK","SUPERCHAIN"
"957","LYRA","SUPERCHAIN"
"1750","METAL","SUPERCHAIN"
"185","MINT","SUPERCHAIN"
"34443","MODE","SUPERCHAIN"
"10","OPTIMISM","SUPERCHAIN"
"291","ORDERLY","SUPERCHAIN"
"8008","POLYNOMIAL","SUPERCHAIN"
"6805","RACE","SUPERCHAIN"
"690","REDSTONE","SUPERCHAIN"
"360","SHAPE","SUPERCHAIN"
"1868","SONEIUM","SUPERCHAIN"
"254","SWAN","SUPERCHAIN"
"1923","SWELL","SUPERCHAIN"
"130","UNICHAIN","SUPERCHAIN"
"480","WORLDCHAIN","SUPERCHAIN"
"2702128","XTERIO","SUPERCHAIN"
"7777777","ZORA","SUPERCHAIN"
