proxy_type,version,factory_address
"SAFE","1.4.1","0x4e1DCf7AD4e460CfD30791CCC4F9c8a4f820ec67"
"SAFE","1.3.0","0xC22834581EbC8527d974F8a1c97E1bEA4EF910BC"
"SAFE","1.1.1","0x76E2cFc1F5Fa8F6a5b3fC4c8F4788F0116861F9B"
"SAFE","1.0.0","0x12302fE9c02ff50939BaAaaf415fc226C078613C"
"ENTRYPOINT","0.0.7","0x0000000071727De22E5E9d8BAf0edAc6f37da032"
"ENTRYPOINT","0.0.6","0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789"
